Respondent ID,Age,Gender,Favorite Toy,Play Frequency,Play Context,Toy Discovery,Seasonal Interest,Digital vs. Physical,Character Connection,New Toy Interest,Play Duration,Play Space,Purchase Decision Factors,Purchase Channels,Budget Allocation (£/yr),Advertising Impact Channels,Developmental Benefits,Brand Perceptions,Sustainability Importance,Digital Balance,Long-Term Value,Trend Awareness Sources
R154,9,Female,Transformers,Several times/week,Mixed,TV ad,Occasion-based,Mix of both,Sonic the Hedgehog,Hot Wheels,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",250,"Social media, In-store displays","Emotional regulation, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,Medium (3),"YouTube, Newsletters"
R155,2,Female,Hot Wheels,Less often,Mixed,YouTube ad,Year-round,Digital mostly,Spider-Man,LEGO Minecraft,30 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Brand Website, Argos",150,"TV, Parent forums","Fine motor skills, STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,Low (1),"Parent forums, Teachers"
R156,9,Female,Nintendo Switch,Daily,Mixed,Gift from friend,Weather-dependent,Physical only,Bluey,Cocomelon Set,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Tesco, Argos",300,"In-store displays, Social media","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,High (5),"Newsletters, Parent forums"
R157,4,Female,Play-Doh,Weekly,Family play,Gift from friend,Year-round,Mix of both,Bluey,Transformers,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Brand Website, Argos",250,"Parent forums, In-store displays","STEM, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,Low (1),"YouTube, Instagram"
R158,3,Male,Fisher-Price Piano,Daily,Solo play,Gift from friend,Year-round,Mix of both,Bluey,Fisher-Price Piano,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Tesco, Smyths",150,"YouTube, TV","Emotional regulation, STEM","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Medium (3),"Instagram, Teachers"
R159,3,Male,Fisher-Price Piano,Less often,Solo play,YouTube ad,Occasion-based,Physical only,Spider-Man,Hot Wheels,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",100,"In-store displays, Parent forums","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,High (5),"Newsletters, Teachers"
R160,5,Female,Barbie Doll,Several times/week,Peer play,Social media,Occasion-based,Digital mostly,Sonic the Hedgehog,Play-Doh,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Argos, Tesco",200,"In-store displays, YouTube","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Low (1),"Newsletters, Instagram"
R161,7,Male,Hot Wheels,Daily,Mixed,Gift from friend,Year-round,Digital mostly,Paw Patrol,Fisher-Price Piano,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",250,"YouTube, Parent forums","Creativity, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Low (1),"Instagram, Teachers"
R162,3,Male,Barbie Doll,Weekly,Solo play,YouTube ad,Occasion-based,Digital mostly,Sonic the Hedgehog,Cocomelon Set,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Brand Website, Argos",300,"Parent forums, Social media","Fine motor skills, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,High (5),"Instagram, Newsletters"
R163,6,Male,Fisher-Price Piano,Several times/week,Peer play,Store display,Seasonal,Physical only,Paw Patrol,Cocomelon Set,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Argos, Smyths",300,"Parent forums, TV","Creativity, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,Low (1),"Parent forums, Newsletters"
R164,9,Female,Play-Doh,Daily,Peer play,Gift from friend,Occasion-based,Physical only,Sonic the Hedgehog,LOL Surprise,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Argos",300,"In-store displays, Parent forums","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,Low (1),"Parent forums, Teachers"
R165,7,Female,Barbie Doll,Weekly,Peer play,YouTube ad,Seasonal,Digital mostly,Bluey,LEGO Minecraft,15 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",150,"TV, Parent forums","Emotional regulation, STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,High (5),"Teachers, YouTube"
R166,7,Male,Hot Wheels,Weekly,Solo play,YouTube ad,Occasion-based,Mix of both,Peppa Pig,Hot Wheels,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",100,"Social media, Parent forums","Fine motor skills, STEM","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,Low (1),"Teachers, Parent forums"
R167,4,Female,Cocomelon Set,Weekly,Peer play,Store display,Occasion-based,Physical only,Paw Patrol,LEGO Minecraft,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Amazon, Tesco",150,"TV, In-store displays","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,High (5),"YouTube, Teachers"
R168,8,Male,Cocomelon Set,Several times/week,Peer play,TV ad,Weather-dependent,Mix of both,Elsa (Frozen),LOL Surprise,30 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Tesco, Brand Website",100,"YouTube, Parent forums","Fine motor skills, STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),No screens after 6PM,High (5),"Teachers, Instagram"
R169,2,Female,Nintendo Switch,Several times/week,Mixed,YouTube ad,Weather-dependent,Physical only,Spider-Man,Fisher-Price Piano,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Tesco, Argos",150,"Social media, TV","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,High (5),"YouTube, Instagram"
R170,3,Male,Cocomelon Set,Weekly,Family play,YouTube ad,Weather-dependent,Physical only,Spider-Man,Fisher-Price Piano,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",150,"In-store displays, Social media","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,High (5),"YouTube, Newsletters"
R171,2,Female,Nintendo Switch,Less often,Mixed,Social media,Occasion-based,Mix of both,Peppa Pig,Play-Doh,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Tesco, Argos",300,"TV, Parent forums","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,High (5),"Newsletters, Parent forums"
R172,2,Male,Barbie Doll,Less often,Peer play,Store display,Occasion-based,Physical only,Paw Patrol,Fisher-Price Piano,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Amazon, Argos",150,"Parent forums, TV","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,High (5),"Instagram, YouTube"
R173,5,Female,Nintendo Switch,Weekly,Peer play,Store display,Year-round,Mix of both,Bluey,Cocomelon Set,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Amazon, Argos",100,"YouTube, In-store displays","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Medium (3),"Parent forums, Teachers"
R174,7,Female,LEGO Minecraft,Weekly,Mixed,YouTube ad,Year-round,Digital mostly,Bluey,Play-Doh,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",100,"In-store displays, Social media","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Medium (3),"Parent forums, YouTube"
R175,8,Male,Play-Doh,Daily,Solo play,Gift from friend,Occasion-based,Physical only,Spider-Man,Play-Doh,45 mins,Playroom,"Educational (5), Interest (5), Price (4)","Amazon, Argos",250,"Social media, TV","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,High (5),"Instagram, Parent forums"
R176,5,Female,Barbie Doll,Less often,Mixed,Store display,Year-round,Digital mostly,Minions,LEGO Minecraft,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",300,"YouTube, TV","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,High (5),"Instagram, Teachers"
R177,3,Female,Fisher-Price Piano,Daily,Solo play,TV ad,Year-round,Mix of both,Mario,LEGO Minecraft,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Argos",150,"In-store displays, YouTube","Emotional regulation, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Low (1),"YouTube, Instagram"
R178,6,Male,Fisher-Price Piano,Several times/week,Solo play,TV ad,Year-round,Digital mostly,Mario,Cocomelon Set,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Amazon",200,"YouTube, Social media","Emotional regulation, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Medium (3),"Instagram, Parent forums"
R179,6,Female,Transformers,Weekly,Family play,Social media,Seasonal,Digital mostly,Spider-Man,Transformers,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",150,"TV, YouTube","Emotional regulation, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,Low (1),"YouTube, Teachers"
R180,6,Male,Play-Doh,Weekly,Solo play,Store display,Year-round,Physical only,Mario,Nintendo Switch,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Smyths, Argos",200,"Social media, Parent forums","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,High (5),"YouTube, Teachers"
R181,8,Male,Hot Wheels,Several times/week,Mixed,Store display,Seasonal,Mix of both,Paw Patrol,Transformers,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",200,"Social media, YouTube","Fine motor skills, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,High (5),"Teachers, Instagram"
R182,2,Female,LOL Surprise,Weekly,Mixed,YouTube ad,Seasonal,Physical only,Elsa (Frozen),Transformers,1 hr,Backyard,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",150,"In-store displays, Parent forums","Emotional regulation, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Very important (5),Timer-based play,High (5),"Parent forums, Newsletters"
R183,7,Female,Barbie Doll,Less often,Mixed,YouTube ad,Seasonal,Digital mostly,Mario,LEGO Minecraft,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",200,"Parent forums, TV","Creativity, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,Medium (3),"Newsletters, Instagram"
R184,2,Male,Fisher-Price Piano,Weekly,Family play,Social media,Seasonal,Digital mostly,Minions,LOL Surprise,15 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Tesco, Argos",100,"In-store displays, Parent forums","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Not important (1),No screens after 6PM,Medium (3),"Teachers, Instagram"
R185,7,Female,Cocomelon Set,Less often,Peer play,YouTube ad,Occasion-based,Physical only,Mario,LOL Surprise,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",250,"YouTube, Parent forums","Emotional regulation, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,Low (1),"YouTube, Instagram"
R186,6,Female,Cocomelon Set,Daily,Mixed,Social media,Seasonal,Physical only,Elsa (Frozen),Play-Doh,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",200,"Social media, In-store displays","Creativity, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,Medium (3),"Parent forums, Newsletters"
R187,3,Female,LEGO Minecraft,Several times/week,Family play,TV ad,Seasonal,Mix of both,Bluey,LOL Surprise,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Tesco, Argos",100,"Social media, In-store displays","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,High (5),"Teachers, Parent forums"
R188,3,Female,LOL Surprise,Several times/week,Solo play,Store display,Seasonal,Digital mostly,Paw Patrol,Nintendo Switch,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",300,"TV, Parent forums","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,Medium (3),"Parent forums, Instagram"
R189,7,Female,Nintendo Switch,Daily,Family play,Gift from friend,Occasion-based,Digital mostly,Paw Patrol,Cocomelon Set,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",150,"YouTube, In-store displays","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Medium (3),"Instagram, Teachers"
R190,7,Female,Cocomelon Set,Less often,Solo play,YouTube ad,Seasonal,Mix of both,Mario,Cocomelon Set,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",150,"TV, Social media","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,Medium (3),"Instagram, YouTube"
R191,5,Male,LEGO Minecraft,Daily,Mixed,Social media,Weather-dependent,Physical only,Minions,Transformers,30 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",150,"In-store displays, Parent forums","Fine motor skills, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,Low (1),"Parent forums, YouTube"
R192,2,Male,Fisher-Price Piano,Less often,Peer play,Store display,Year-round,Physical only,Elsa (Frozen),Play-Doh,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Smyths",150,"In-store displays, Social media","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Medium (3),"Newsletters, YouTube"
R193,6,Female,Transformers,Several times/week,Mixed,Gift from friend,Occasion-based,Mix of both,Spider-Man,Play-Doh,1 hr,Playroom,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",200,"TV, Social media","Creativity, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Medium (3),"YouTube, Newsletters"
R194,9,Female,Nintendo Switch,Several times/week,Peer play,Gift from friend,Seasonal,Mix of both,Peppa Pig,LEGO Minecraft,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Tesco, Argos",300,"Social media, In-store displays","Creativity, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Medium (3),"Instagram, Parent forums"
R195,9,Male,Hot Wheels,Weekly,Mixed,Store display,Occasion-based,Digital mostly,Paw Patrol,Cocomelon Set,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",150,"In-store displays, TV","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,High (5),"Instagram, Parent forums"
R196,8,Male,Transformers,Less often,Peer play,Store display,Occasion-based,Physical only,Mario,Hot Wheels,15 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",350,"YouTube, Social media","Fine motor skills, STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),50/50 balance,High (5),"Instagram, Newsletters"
R197,6,Female,Hot Wheels,Weekly,Solo play,Gift from friend,Year-round,Physical only,Peppa Pig,Nintendo Switch,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",200,"In-store displays, TV","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,High (5),"YouTube, Newsletters"
R198,6,Female,Barbie Doll,Less often,Mixed,Store display,Seasonal,Physical only,Minions,Cocomelon Set,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",100,"In-store displays, YouTube","Creativity, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,High (5),"Parent forums, Instagram"
R199,6,Female,Transformers,Several times/week,Mixed,Gift from friend,Weather-dependent,Digital mostly,Sonic the Hedgehog,LEGO Minecraft,45 mins,Playroom,"Educational (5), Interest (5), Price (4)","Argos, Amazon",250,"Social media, In-store displays","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Low (1),"Newsletters, YouTube"
R200,6,Male,Hot Wheels,Weekly,Solo play,Store display,Seasonal,Digital mostly,Elsa (Frozen),Play-Doh,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Argos, Amazon",200,"TV, Parent forums","Emotional regulation, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Not important (1),Timer-based play,Medium (3),"Instagram, Newsletters"
R201,8,Male,LEGO Minecraft,Several times/week,Solo play,Social media,Year-round,Physical only,Sonic the Hedgehog,Transformers,1 hr,Bedroom,"Educational (5), Interest (5), Price (4)","Amazon, Brand Website",150,"YouTube, Social media","Creativity, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),No screens after 6PM,High (5),"Newsletters, Teachers"
R202,7,Male,Barbie Doll,Several times/week,Solo play,Store display,Year-round,Physical only,Peppa Pig,Cocomelon Set,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Brand Website, Argos",150,"YouTube, TV","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Medium (3),"Instagram, Parent forums"
R203,6,Male,LOL Surprise,Weekly,Mixed,Gift from friend,Year-round,Digital mostly,Sonic the Hedgehog,Transformers,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Brand Website, Argos",250,"Parent forums, Social media","Creativity, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,Medium (3),"Newsletters, YouTube"
R204,4,Male,Cocomelon Set,Weekly,Solo play,Store display,Occasion-based,Mix of both,Paw Patrol,Cocomelon Set,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",250,"Social media, In-store displays","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,Medium (3),"Newsletters, Parent forums"
R205,7,Male,Barbie Doll,Less often,Solo play,YouTube ad,Occasion-based,Mix of both,Spider-Man,LOL Surprise,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Brand Website, Argos",300,"Parent forums, TV","Fine motor skills, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Medium (3),"Newsletters, Teachers"
R206,9,Male,Fisher-Price Piano,Less often,Peer play,Gift from friend,Seasonal,Physical only,Peppa Pig,Transformers,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",150,"YouTube, Social media","Emotional regulation, STEM","LEGO (Innovative), Barbie (Trusted)",Very important (5),50/50 balance,High (5),"Parent forums, YouTube"
R207,4,Female,Cocomelon Set,Daily,Peer play,YouTube ad,Seasonal,Physical only,Spider-Man,Nintendo Switch,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Smyths, Argos",100,"YouTube, In-store displays","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,Medium (3),"Teachers, Parent forums"
R208,9,Male,Cocomelon Set,Daily,Solo play,Social media,Occasion-based,Mix of both,Minions,Cocomelon Set,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",200,"YouTube, Parent forums","STEM, Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,Medium (3),"Instagram, Newsletters"
R209,5,Female,Hot Wheels,Weekly,Solo play,YouTube ad,Year-round,Mix of both,Spider-Man,Fisher-Price Piano,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",350,"YouTube, In-store displays","Fine motor skills, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Not important (1),No screens after 6PM,Low (1),"Newsletters, Parent forums"
R210,6,Female,Barbie Doll,Weekly,Solo play,Gift from friend,Occasion-based,Physical only,Sonic the Hedgehog,LOL Surprise,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Brand Website, Amazon",350,"TV, In-store displays","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Medium (3),"YouTube, Newsletters"
R211,8,Male,Cocomelon Set,Less often,Peer play,Store display,Occasion-based,Physical only,Minions,Transformers,30 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Amazon, Tesco",350,"TV, In-store displays","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Low (1),"YouTube, Parent forums"
R212,8,Male,Cocomelon Set,Daily,Mixed,TV ad,Year-round,Mix of both,Sonic the Hedgehog,LEGO Minecraft,30 mins,Playroom,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",300,"Parent forums, YouTube","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),1hr on weekends,Medium (3),"Teachers, Newsletters"
R213,6,Male,Fisher-Price Piano,Daily,Family play,Store display,Seasonal,Mix of both,Mario,Hot Wheels,45 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Argos, Smyths",350,"TV, Social media","STEM, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,High (5),"YouTube, Instagram"
R214,2,Male,Nintendo Switch,Less often,Mixed,Store display,Weather-dependent,Mix of both,Bluey,Fisher-Price Piano,30 mins,Living Room,"Educational (5), Interest (5), Price (4)","Argos, Amazon",150,"TV, Parent forums","Emotional regulation, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),No screens after 6PM,Low (1),"YouTube, Teachers"
R215,9,Female,Nintendo Switch,Less often,Peer play,Store display,Year-round,Digital mostly,Sonic the Hedgehog,LOL Surprise,30 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",300,"TV, YouTube","Emotional regulation, STEM","LEGO (Innovative), Barbie (Trusted)",Not important (1),No screens after 6PM,High (5),"YouTube, Newsletters"
R216,9,Female,LEGO Minecraft,Several times/week,Solo play,Gift from friend,Weather-dependent,Physical only,Bluey,LEGO Minecraft,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Tesco, Brand Website",300,"YouTube, Social media","STEM, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Low (1),"Parent forums, Newsletters"
R217,6,Female,Hot Wheels,Less often,Solo play,YouTube ad,Occasion-based,Physical only,Mario,Transformers,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",150,"TV, Parent forums","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Medium (3),"Newsletters, Teachers"
R218,7,Female,LEGO Minecraft,Less often,Peer play,Social media,Year-round,Digital mostly,Sonic the Hedgehog,LOL Surprise,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Brand Website, Smyths",350,"Parent forums, YouTube","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),50/50 balance,Low (1),"Parent forums, Instagram"
R219,5,Female,Play-Doh,Several times/week,Solo play,YouTube ad,Occasion-based,Physical only,Spider-Man,Cocomelon Set,15 mins,Backyard,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",100,"In-store displays, Parent forums","STEM, Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Not important (1),No screens after 6PM,Low (1),"Newsletters, YouTube"
R220,4,Female,Nintendo Switch,Weekly,Mixed,TV ad,Occasion-based,Mix of both,Mario,Hot Wheels,30 mins,Bedroom,"Educational (5), Interest (5), Price (4)","Tesco, Amazon",150,"TV, In-store displays","Emotional regulation, Creativity","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Low (1),"Instagram, Parent forums"
R221,3,Male,Nintendo Switch,Weekly,Peer play,Social media,Weather-dependent,Digital mostly,Sonic the Hedgehog,Fisher-Price Piano,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",250,"Social media, In-store displays","Fine motor skills, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),No screens after 6PM,High (5),"Teachers, Instagram"
R222,7,Male,Fisher-Price Piano,Weekly,Family play,Store display,Seasonal,Mix of both,Sonic the Hedgehog,Cocomelon Set,15 mins,Playroom,"Educational (5), Interest (5), Price (4)","Brand Website, Tesco",100,"TV, YouTube","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,Low (1),"YouTube, Newsletters"
R223,3,Female,Nintendo Switch,Several times/week,Solo play,Social media,Year-round,Mix of both,Mario,Barbie Doll,45 mins,Living Room,"Educational (5), Interest (5), Price (4)","Tesco, Smyths",200,"TV, In-store displays","Cognitive dev., STEM","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),Timer-based play,Low (1),"Newsletters, YouTube"
R224,9,Male,Transformers,Several times/week,Peer play,Gift from friend,Weather-dependent,Digital mostly,Paw Patrol,Barbie Doll,45 mins,Backyard,"Educational (5), Interest (5), Price (4)","Argos, Brand Website",100,"Parent forums, In-store displays","Cognitive dev., Fine motor skills","LEGO (Innovative), Barbie (Trusted)",Important (4),Timer-based play,Low (1),"Instagram, Teachers"
R225,7,Female,Hot Wheels,Daily,Family play,TV ad,Year-round,Digital mostly,Bluey,Hot Wheels,45 mins,Kitchen Table,"Educational (5), Interest (5), Price (4)","Smyths, Brand Website",300,"TV, In-store displays","Fine motor skills, Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Medium (3),"Teachers, YouTube"
R226,4,Female,Hot Wheels,Several times/week,Solo play,YouTube ad,Seasonal,Digital mostly,Sonic the Hedgehog,Cocomelon Set,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Brand Website, Argos",300,"Social media, YouTube","Creativity, STEM","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,Medium (3),"Parent forums, Instagram"
R227,7,Male,Hot Wheels,Several times/week,Peer play,Gift from friend,Occasion-based,Digital mostly,Mario,LOL Surprise,30 mins,Backyard,"Educational (5), Interest (5), Price (4)","Smyths, Tesco",300,"TV, Parent forums","Emotional regulation, Cognitive dev.","LEGO (Innovative), Barbie (Trusted)",Very important (5),1hr on weekends,Low (1),"Newsletters, Teachers"
R228,7,Female,Nintendo Switch,Several times/week,Mixed,Social media,Occasion-based,Digital mostly,Peppa Pig,LOL Surprise,15 mins,Living Room,"Educational (5), Interest (5), Price (4)","Smyths, Amazon",200,"In-store displays, Parent forums","Creativity, Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Somewhat (3),1hr on weekends,Low (1),"Parent forums, Instagram"
R229,9,Male,Fisher-Price Piano,Less often,Mixed,Store display,Seasonal,Physical only,Sonic the Hedgehog,LEGO Minecraft,1 hr,Kitchen Table,"Educational (5), Interest (5), Price (4)","Tesco, Smyths",250,"Social media, Parent forums","Cognitive dev., Creativity","LEGO (Innovative), Barbie (Trusted)",Important (4),1hr on weekends,High (5),"Newsletters, Teachers"
R230,5,Female,Nintendo Switch,Less often,Family play,Social media,Year-round,Physical only,Elsa (Frozen),Cocomelon Set,1 hr,Living Room,"Educational (5), Interest (5), Price (4)","Amazon, Smyths",100,"In-store displays, Parent forums","Cognitive dev., Emotional regulation","LEGO (Innovative), Barbie (Trusted)",Important (4),No screens after 6PM,Low (1),"Newsletters, Teachers"
